Coffee Roasteries,Location,State,Link,Workshops,Who's in charge,Site,Updated on,Workshop
SOL Coffee Roastery,George Town,,https://shopee.com.my/solcoffeeroastery?shopCollection=246751525#product_list,,Pauline,Shopee,,
Ang Ang Roastery,Penang,Penang,https://aarcoffeelibrary.com/,,Pauline,Independent,tbc,
Bad Artist,PJ,,https://badartistcoffee.com/collections/all,,Pauline,Independent,27/05/2026,
Cloud Catcher,PJ,,https://shop.cloudcatcher.asia/collections/coffee,,Pauline,Independent,tbc,
Contour,PJ,,https://shopee.com.my/contourpj,,Nobody,Shopee,,
Cottle Coffee,PJ,,https://www.cottlecoffee.com.my/coffeebeans,,Pauline,Independent,tbc,
Craft Origin,PJ,,https://shopee.com.my/craftorigin7701?entryPoint=ShopBySearch&searchKeyword=craft%20origin,,Pauline,Shopee,,
Curate,PJ,,https://shopee.com.my/curatecoffeeroasters,,Pauline,Shopee,,
Forest Cloud,PJ,,https://www.forestcloud.com.my/collections/coffee,,,Independent,tbc,
Niju Coffee,PJ,,https://shopee.com.my/nijucoffeehub,,,Shopee,,
One Half Coffee Roastery,PJ,,https://www.onehalfcoffee.com/products,,Pauline,Independent,tbc,
Single Dose Coffee,PJ,,https://www.instagram.com/singledosecoffee_/?hl=en,,Nobody,None,,
The Roast Things,PJ,,https://theroastthings.com/collections/all,,Pauline,Independent,27/05/2026,
Toothless Coffee,PJ,,https://toothlesscoffee.com/coffee-beans/,,Cat,Independent,27/05/2026,
Rara Ciffee,PJ,,https://shopee.com.my/raracoffeeonline?uls_trackid=553p7tqs002k&utm_content=2hiSVPBgUnYsQwzE8YsbFmLuimro,,Pauline,Shopee,,
Soon Specialty Coffee,Segamat,,https://shopee.com.my/soonspecialtycoffeecompany?entryPoint=cart,,Pauline,Shopee,,
V Coffee,Segamat,,https://shopee.com.my/vcoffeemalaysia,,Pauline,Shopee,,
Drunk Coffee Roasters,Segamat,,https://www.instagram.com/drunkcoffeeroasters/?hl=en,,,None,,
Overdose Kitten,Seri Kembangan,,https://shopee.com.my/overdose.kitten,,Pauline,Shopee,,
43 Coffee Roaster,Shah Alam,,https://43coffee.com/,,Pauline,Independent,27/05/2026,
Ask Coffee Roastery,Shah Alam,,https://shopee.com.my/akusukakopi,,Pauline,Shopee,,
Blend Coffee Roasters,Shah Alam,,https://shopee.com.my/blendcoffeeroasters,,,Shopee,,
Celcius Coffee,Shah Alam,,https://shopee.com.my/celsiuscoffee,,Nobody,Shopee,,
Coffex Coffee,Shah Alam,,https://shopee.com.my/coffexcoffeemalaysia?shopCollection=255291657#product_list,,Pauline,Shopee,,
FCR Coffee,Shah Alam,,https://fcrcoffee.com/menu/,,,Independent,27/05/2026,
Baristar Roastery,Subang,,,,Nobody,None,,
Emery Coffee Roastery,Subang,,https://emery.coffee/collections/retail-coffee-beans,,Nobody,Independent,27/05/2026,
The Crackpots Coffee Roaster,Subang,,https://thecrackpots.com/collections/roasted-coffee,,Pauline,Independent,27/05/2026,
Rumah Panggang,Sungai Petani,Kedah,https://www.rumahpanggang.com/product-category/coffee/,,,Independent,27/05/2026,
Clod Coffee,JB,,https://clodcoffee.com/,,,Independent,27/05/2026,
Space Roastery,Online,,https://shopee.com.my/spaceroastery.my?categoryId=100629&entryPoint=ShopByPDP&itemId=14098731486,,,Shopee,,
The Circle Coffee,,,https://shopee.com.my/amos278,,,Shopee,,
Bean Doe/ talker,Subang,,https://www.beandoe.com.my/,,,Independent,27/05/2026,
Tubby Coffee,,,https://tubbycoffee.co/,,Pauline,Independent,27/05/2026,
Putra Roasters Coffee,Subang,,https://www.putraroasters.com/,,,Independent,27/05/2026,
Ground Coffee Roasters,PJ,,https://shopee.com.my/groundcoffeeroasters?categoryId=100629&entryPoint=ShopByPDP&itemId=23541216549,,,,,
