name,orig_location,state,klang_valley,kv_area,type,shop_link,site_status,gbp_prospect,gbp_place_id,gbp_url,address,postcode,google_rating,google_review_count,review_summary
Tyler Coffee,NO,,no,,online,https://www.instagram.com/tyler_coffeeworkshop/?hl=en,None,unlikely (online storefront) - verify,,,,,,,
Ditto Coffee,NO,,no,,online,"https://ditto.coffee/ (import coffee: tanat, bluebird)",None,unlikely (online storefront) - verify,,,,,,,
Beam Coffee Roastery,Online,,no,,online,https://shopee.com.my/beamspecialty,Shopee,unlikely (online storefront) - verify,,,,,,,
Black by ACC,Online,,no,,online,https://shopee.com.my/blackbyacc,Shopee,unlikely (online storefront) - verify,,,,,,,
Boutique Premium Coffee,Online,,no,,online,https://shopee.com.my/boutique.premium.coffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Brown Dots Coffee Roastery,Online,,no,,online,https://shopee.com.my/browndotscoffeeroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Discover Coffee Roasting,Online,,no,,online,https://shopee.com.my/discovercoffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Douyuan Coffee,Online,,no,,online,https://shopee.com.my/douyuan,Shopee,unlikely (online storefront) - verify,,,,,,,
Hisbrew Roastery,Online,,no,,online,https://shopee.com.my/hisbrewroastery,Shopee,unlikely (online storefront) - verify,,,,,,,
Kopianjis7d,Online,,no,,online,https://shopee.com.my/kopianjis7d.my,Shopee,unlikely (online storefront) - verify,,,,,,,
Liten Coffee,Online,,no,,online,https://litencoffee.com/,Independent,n/a (online-only),,,,,,,
Roasted Rocks Coffee,Online,,no,,online,https://shopee.com.my/roastedrocks,Shopee,unlikely (online storefront) - verify,,,,,,,
Seafarer Coffee,Online,,no,,online,https://shopee.com.my/seafarer.coffee?entryPoint=cart,Shopee,unlikely (online storefront) - verify,,,,,,,
Sozofeine,Online,,no,,online,https://shopee.com.my/sozofeine_coffee03,Shopee,unlikely (online storefront) - verify,,,,,,,
Tatih Roast Works,Online,,no,,online,https://tatihroastworks.easy.co/collections/all,Independent,n/a (online-only),,,,,,,
Shiro Coffee Roastery,Online,,no,,online,https://www.shirocoffeeroastery.com/,Got issue,n/a (online-only),,,,,,,
Charlie's Factory,Bayan Lepas,Penang,no,,physical,https://shopee.com.my/charlies.factory,Shopee,unlikely (online storefront) - verify,,,,,,,
Yello Coffee Solution,Bayan Lepas,Penang,no,,physical,https://www.yellocoffeesolution.com/collections/coffee-beans,Independent,likely - collect via Places API,,,,,,,
MJU Coffee Roastery,Butterworth,Penang,no,,physical,https://www.mjuofficial.com/shop,Independent,likely - collect via Places API,,,,,,,
Deadman Tongue,George Town,Penang,no,,physical,,None,unlikely (online storefront) - verify,,,,,,,
ninelivescoffeeroasters,George Town,Penang,no,,physical,https://ninelivescoffee.co/collections,Independent,likely - collect via Places API,,,,,,,
Ome by spacebar,George Town,Penang,no,,physical,,None,unlikely (online storefront) - verify,,,,,,,
SOL Coffee Roastery,George Town,Penang,no,,physical,https://shopee.com.my/solcoffeeroastery?shopCollection=246751525#product_list,Shopee,unlikely (online storefront) - verify,,,,,,,
Ang Ang Roastery,Penang,Penang,no,,physical,https://aarcoffeelibrary.com/,Independent,likely - collect via Places API,,,,,,,
Bad Artist,PJ,Selangor,yes,Petaling Jaya,physical,https://badartistcoffee.com/collections/all,Independent,likely - collect via Places API,,,,,,,
Cloud Catcher,PJ,Selangor,yes,Petaling Jaya,physical,https://shop.cloudcatcher.asia/collections/coffee,Independent,likely - collect via Places API,,,,,,,
Contour,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/contourpj,Shopee,unlikely (online storefront) - verify,,,,,,,
Cottle Coffee,PJ,Selangor,yes,Petaling Jaya,physical,https://www.cottlecoffee.com.my/coffeebeans,Independent,likely - collect via Places API,,,,,,,
Craft Origin,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/craftorigin7701?entryPoint=ShopBySearch&searchKeyword=craft%20origin,Shopee,unlikely (online storefront) - verify,,,,,,,
Curate,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/curatecoffeeroasters,Shopee,unlikely (online storefront) - verify,,,,,,,
Forest Cloud,PJ,Selangor,yes,Petaling Jaya,physical,https://www.forestcloud.com.my/collections/coffee,Independent,likely - collect via Places API,,,,,,,
Niju Coffee,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/nijucoffeehub,Shopee,unlikely (online storefront) - verify,,,,,,,
One Half Coffee Roastery,PJ,Selangor,yes,Petaling Jaya,physical,https://www.onehalfcoffee.com/products,Independent,likely - collect via Places API,,,,,,,
Single Dose Coffee,PJ,Selangor,yes,Petaling Jaya,physical,https://www.instagram.com/singledosecoffee_/?hl=en,None,unlikely (online storefront) - verify,,,,,,,
The Roast Things,PJ,Selangor,yes,Petaling Jaya,physical,https://theroastthings.com/collections/all,Independent,likely - collect via Places API,,,,,,,
Toothless Coffee,PJ,Selangor,yes,Petaling Jaya,physical,https://toothlesscoffee.com/coffee-beans/,Independent,likely - collect via Places API,,,,,,,
Rara Ciffee,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/raracoffeeonline?uls_trackid=553p7tqs002k&utm_content=2hiSVPBgUnYsQwzE8YsbFmLuimro,Shopee,unlikely (online storefront) - verify,,,,,,,
Soon Specialty Coffee,Segamat,Johor,no,,physical,https://shopee.com.my/soonspecialtycoffeecompany?entryPoint=cart,Shopee,unlikely (online storefront) - verify,,,,,,,
V Coffee,Segamat,Johor,no,,physical,https://shopee.com.my/vcoffeemalaysia,Shopee,unlikely (online storefront) - verify,,,,,,,
Drunk Coffee Roasters,Segamat,Johor,no,,physical,https://www.instagram.com/drunkcoffeeroasters/?hl=en,None,unlikely (online storefront) - verify,,,,,,,
Overdose Kitten,Seri Kembangan,Selangor,yes,Seri Kembangan,physical,https://shopee.com.my/overdose.kitten,Shopee,unlikely (online storefront) - verify,,,,,,,
43 Coffee Roaster,Shah Alam,Selangor,yes,Shah Alam,physical,https://43coffee.com/,Independent,likely - collect via Places API,,,,,,,
Ask Coffee Roastery,Shah Alam,Selangor,yes,Shah Alam,physical,https://shopee.com.my/akusukakopi,Shopee,unlikely (online storefront) - verify,,,,,,,
Blend Coffee Roasters,Shah Alam,Selangor,yes,Shah Alam,physical,https://shopee.com.my/blendcoffeeroasters,Shopee,unlikely (online storefront) - verify,,,,,,,
Celcius Coffee,Shah Alam,Selangor,yes,Shah Alam,physical,https://shopee.com.my/celsiuscoffee,Shopee,unlikely (online storefront) - verify,,,,,,,
Coffex Coffee,Shah Alam,Selangor,yes,Shah Alam,physical,https://shopee.com.my/coffexcoffeemalaysia?shopCollection=255291657#product_list,Shopee,unlikely (online storefront) - verify,,,,,,,
FCR Coffee,Shah Alam,Selangor,yes,Shah Alam,physical,https://fcrcoffee.com/menu/,Independent,likely - collect via Places API,,,,,,,
Baristar Roastery,Subang,Selangor,yes,Subang Jaya,physical,,None,unlikely (online storefront) - verify,,,,,,,
Emery Coffee Roastery,Subang,Selangor,yes,Subang Jaya,physical,https://emery.coffee/collections/retail-coffee-beans,Independent,likely - collect via Places API,,,,,,,
The Crackpots Coffee Roaster,Subang,Selangor,yes,Subang Jaya,physical,https://thecrackpots.com/collections/roasted-coffee,Independent,likely - collect via Places API,,,,,,,
Rumah Panggang,Sungai Petani,Kedah,no,,physical,https://www.rumahpanggang.com/product-category/coffee/,Independent,likely - collect via Places API,,,,,,,
Clod Coffee,JB,Johor,no,,physical,https://clodcoffee.com/,Independent,likely - collect via Places API,,,,,,,
Space Roastery,Online,,no,,online,https://shopee.com.my/spaceroastery.my?categoryId=100629&entryPoint=ShopByPDP&itemId=14098731486,Shopee,unlikely (online storefront) - verify,,,,,,,
The Circle Coffee,,,no,,online,https://shopee.com.my/amos278,Shopee,unlikely (online storefront) - verify,,,,,,,
Bean Doe/ talker,Subang,Selangor,yes,Subang Jaya,physical,https://www.beandoe.com.my/,Independent,likely - collect via Places API,,,,,,,
Tubby Coffee,,,no,,online,https://tubbycoffee.co/,Independent,n/a (online-only),,,,,,,
Putra Roasters Coffee,Subang,Selangor,yes,Subang Jaya,physical,https://www.putraroasters.com/,Independent,likely - collect via Places API,,,,,,,
Ground Coffee Roasters,PJ,Selangor,yes,Petaling Jaya,physical,https://shopee.com.my/groundcoffeeroasters?categoryId=100629&entryPoint=ShopByPDP&itemId=23541216549,,unlikely (online storefront) - verify,,,,,,,
